count,old_condition,new_condition,new_subset
2,RL-only;maj@64,RL-only; maj@64,
2,RL-only;pass@1,RL-only; pass@1,
2,SFT+RL;maj@64,SFT+RL; maj@64,
2,SFT+RL;pass@1,SFT+RL; pass@1,
2,SFT;maj@64,SFT; maj@64,
2,SFT;pass@1,SFT; pass@1,
2,"Spanish, low",low,Spanish
2,"Spanish, medium",medium,Spanish
2,Strict,,Strict
2,"Swahili, low",low,Swahili
2,"Swahili, medium",medium,Swahili
2,Winner vs gpt-5-thinking,,Winner vs gpt-5-thinking
2,"Yoruba, low",low,Yoruba
2,"Yoruba, medium",medium,Yoruba
2,browsing; Acquisition,browsing,Acquisition
2,browsing; Formulation,browsing,Formulation
2,browsing; Release,browsing,Release
2,extended thinking; 1 attempt; no safeguards,extended thinking; 1 attempt; no safeguards,
2,extended thinking; 1 attempt; with safeguards,extended thinking; 1 attempt; with safeguards,
2,extended thinking; 1 attempt; without safeguards,extended thinking; 1 attempt; without safeguards,
2,extended thinking; 200 attempts; no safeguards,extended thinking; 200 attempts; no safeguards,
2,extended thinking; 200 attempts; with safeguards,extended thinking; 200 attempts; with safeguards,
2,extended thinking; 200 attempts; without safeguards,extended thinking; 200 attempts; without safeguards,
2,main; no web,main; no web,
2,no browsing launch candidate; Cyber Range: Light with Hints (pass@1),no browsing launch candidate,Cyber Range: Light with Hints (pass@1)
2,no browsing launch candidate; Cyber Range: Medium (pass@12),no browsing launch candidate,Cyber Range: Medium (pass@12)
2,no browsing launch candidate; Cyber Range: Medium with Hints (pass@1),no browsing launch candidate,Cyber Range: Medium with Hints (pass@1)
2,no browsing; Cyber Range: Light with Hints (pass@1),no browsing,Cyber Range: Light with Hints (pass@1)
2,no browsing; Cyber Range: Medium (pass@12),no browsing,Cyber Range: Medium (pass@12)
2,no browsing; Cyber Range: Medium with Hints (pass@1),no browsing,Cyber Range: Medium with Hints (pass@1)
2,no tools high,no tools high,
2,standard thinking; 1 attempt; no safeguards,standard thinking; 1 attempt; no safeguards,
2,standard thinking; 1 attempt; with safeguards,standard thinking; 1 attempt; with safeguards,
2,standard thinking; 1 attempt; without safeguards,standard thinking; 1 attempt; without safeguards,
2,standard thinking; 200 attempts; no safeguards,standard thinking; 200 attempts; no safeguards,
2,standard thinking; 200 attempts; with safeguards,standard thinking; 200 attempts; with safeguards,
2,standard thinking; 200 attempts; without safeguards,standard thinking; 200 attempts; without safeguards,
2,thinking; browsing launch candidate; Acquisition,thinking; browsing launch candidate,Acquisition
2,thinking; browsing launch candidate; Formulation,thinking; browsing launch candidate,Formulation
2,thinking; browsing launch candidate; Ideation,thinking; browsing launch candidate,Ideation
2,thinking; browsing launch candidate; Release,thinking; browsing launch candidate,Release
2,thinking; k=10,thinking; k=10,
2,thinking; winner (more safe) vs o3,thinking,winner (more safe) vs o3
2,v6,v6,
2,with Codex-Max,with Codex-Max,
2,with FileTool reminder,with FileTool reminder,
1,+ System Jailbreak,+ System Jailbreak,
1,2024-11-25 / ; Stage 2 Reasoning RL; thinking,2024-11-25 /; Stage 2 Reasoning RL; thinking,
1,2024-11-25 / ; Stage 3 Thinking Mode Fusion; non-thinking,2024-11-25 /; Stage 3 Thinking Mode Fusion; non-thinking,
1,2024-11-25 / ; Stage 3 Thinking Mode Fusion; thinking,2024-11-25 /; Stage 3 Thinking Mode Fusion; thinking,
1,2024-11-25 / ; Stage 4 General RL; non-thinking,2024-11-25 /; Stage 4 General RL; non-thinking,
1,2024-11-25 / ; Stage 4 General RL; thinking,2024-11-25 /; Stage 4 General RL; thinking,
1,Actor Critic; vs Gemini 1.5 Pro 002,Actor Critic,vs Gemini 1.5 Pro 002
1,Average; maj@6,maj@6,Average
1,Beam Search; vs Gemini 1.5 Pro 002,Beam Search,vs Gemini 1.5 Pro 002
1,BrowseComp-Plus TTC; + context awareness,BrowseComp-Plus TTC; + context awareness,
1,BrowseComp-Plus TTC; + memory tool new context tool,BrowseComp-Plus TTC; + memory tool new context tool,
1,BrowseComp-Plus TTC; + subagents,BrowseComp-Plus TTC; + subagents,
1,BrowseComp-Plus TTC; + tool break clearing,BrowseComp-Plus TTC; + tool break clearing,
1,BrowseComp-Plus TTC; with fetch tool; Opus 4.5,BrowseComp-Plus TTC; with fetch tool; Opus 4.5,
1,Chat-Hard; maj@6,maj@6,Chat-Hard
1,Chat; maj@6,maj@6,Chat
1,Chinese;pass@1,pass@1,Chinese
1,English;pass@1,pass@1,English
1,French;pass@1,pass@1,French
1,German;pass@1,pass@1,German
1,Italian;pass@1,pass@1,Italian
